Estimate; Total: 0.0
Estimate; Total: 0.0
Percent Males; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0464071961031
Percent; Estimate; Population 25 years and over - Bachelor's degree: 0.0463888161576
Percent Females; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.0463593767885
Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0462114163045
Percent Females; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0457735625262
Percent Females; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.0444084351612
Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0436651665407
Total; Margin of Error; All households - With interest, dividends, or net rental income: 0.0430663692379
Percent; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0410699937862
Percent Females; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0410056859658
Percent Males; Estimate; Population 25 years and over - Associate's degree: 0.0406757537894
Percent Females; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.0403392608586
Percent Females; Estimate; Population 65 years and over - High school graduate or higher: 0.0402184876691
Percent Males; Margin of Error; Two or more races - Bachelor's degree or higher: 0.0400563581039
Total; Margin of Error; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 0.0400543418311
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Some other race: 0.0392250913469
Percent Males; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.0383441540268
Percent Females; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.0382740798589
Percent; Estimate; Population 25 years and over - Some college, no degree: 0.0375801283455
Percent; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.0375346104578
Percent Females; Margin of Error; Population 25 years and over - Bachelor's degree: 0.0358824741349
Percent Males; Margin of Error; Population 25 years and over - Some college, no degree: 0.0348779327933
Percent Females; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.0343670210938
Percent Males; Margin of Error; Population 18 to 24 years - Less than high school graduate: 0.033873009599
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 3 or more workers, husband and wife worked: 0.0331749434689
Percent; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.0319694046808
Percent Males; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher: 0.0318031588663
Percent Males; Margin of Error; Population 35 to 44 years - Bachelor's degree or higher: 0.0317746593571
Percent Males; Margin of Error; Population 35 to 44 years - High school graduate or higher: 0.0312044169338
Percent; Margin of Error; Black alone - Bachelor's degree or higher: 0.0306263548534
Percent; Margin of Error; Black alone - High school graduate or higher: 0.0300871367509
Percent Males; Margin of Error; Black alone - High school graduate or higher: 0.0300363858606
Percent; Estimate; Percent high school graduate or higher: 0.029940197467
Total; Estimate; All households - With retirement income: 0.0299126164558
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.0288620193913
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0282487475874
Total; Estimate; PERCENT ALLOCATED - Family income in the past 12 months: 0.0280376687016
Percent Females; Estimate; Population 35 to 44 years - High school graduate or higher: 0.0278319232251
Percent; Estimate; Two or more races - Bachelor's degree or higher: 0.0275054311131
Percent Males; Margin of Error; Population 65 years and over - Bachelor's degree or higher: 0.0272781292651
Percent; Margin of Error; Asian alone - High school graduate or higher: 0.0265089987058
Percent Females; Margin of Error; American Indian or Alaska Native alone - High school graduate or higher: 0.0258562934748
Percent Females; Estimate; Population 25 years and over - Associate's degree: 0.0255177294312
Percent Females; Estimate; Asian alone - Bachelor's degree or higher: 0.0253359884935
Percent Males; Estimate; Some other race alone - Bachelor's degree or higher: 0.0252983928817
Percent; Estimate; Population 18 to 24 years - Bachelor's degree or higher: 0.0252285465549
Percent Males; Estimate; Population 25 to 34 years - High school graduate or higher: 0.0249045878659
Percent; Estimate; Population 35 to 44 years - Bachelor's degree or higher: 0.0243834128468
Percent Males; Estimate; Black alone - Bachelor's degree or higher: 0.0243436669737
Percent Males; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0241878505098
Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - High school graduate (includes equivalency): 0.0240779298266
Percent Males; Estimate; Native Hawaiian and Other Pacific Islander alone - High school graduate or higher: 0.0240657462815
Total; Estimate; White alone, not Hispanic or Latino_data_./data/income.csv: 0.0234447141103
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - No workers: 0.0233062983604
Percent Males; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0230469845215
Percent; Margin of Error; Population 25 years and over - Bachelor's degree: 0.0229810826251
Percent; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.022873456
Percent; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0226391941831
Percent Males; Estimate; Population 25 years and over - Some college, no degree: 0.0223738757804
Percent Males; Estimate; Population 45 to 64 years - Bachelor's degree or higher: 0.0221187902475
Percent Females; Margin of Error; Black alone - Bachelor's degree or higher: 0.0212340130262
Percent Females; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Some college or associate's degree: 0.0208382614046
Total; Estimate; All households - With earnings: 0.0206557883058
Percent Females; Estimate; White alone, not Hispanic or Latino - High school graduate or higher: 0.020333840164
Percent Males; Estimate; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0200705904988
Percent; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.0200419042566
Percent Males; Margin of Error; Population 18 to 24 years - Some college or associate's degree: 0.019106911771
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - American Indian and Alaska Native: 0.0187659684629
Percent Females; Margin of Error; Two or more races - Bachelor's degree or higher: 0.0186102735989
Percent Females; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.0185770716635
Percent Females; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 0.0184668411665
Percent; Estimate; Population 18 to 24 years - High school graduate (includes equivalency): 0.0177424132949
Percent Males; Estimate; Black alone - High school graduate or higher: 0.0173284154745
Percent; Estimate; Population 18 to 24 years - Some college or associate's degree: 0.0170604880091
Total; Estimate; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - Black or African American: 0.0167897835052
Percent Males; Margin of Error; Hispanic or Latino Origin - High school graduate or higher: 0.0167814782844
Percent Males; Estimate; Population 25 years and over - 9th to 12th grade, no diploma: 0.016683775455
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 2 workers, husband and wife worked: 0.0161812427054
Percent; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.0158441673836
Percent Females; Estimate; Two or more races - Bachelor's degree or higher: 0.0158021544853
Percent Females; Estimate; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - High school graduate or higher: 0.0155505093069
Percent; Estimate; Black alone - High school graduate or higher: 0.0153734277339
Percent; Estimate; Asian alone - High school graduate or higher: 0.0149710035468
Percent Males; Estimate; Population 65 years and over - Bachelor's degree or higher: 0.0149656016916
Percent; Estimate; Some other race alone - Bachelor's degree or higher: 0.0147844336532
Percent Females; Margin of Error; Asian alone - Bachelor's degree or higher: 0.0147361684183
Percent Females; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.0146764057184
Percent; Estimate; Black alone - Bachelor's degree or higher: 0.0143272773071
Percent; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.0142535646043
Percent; Estimate; Population 25 to 34 years - High school graduate or higher: 0.0137578760094
Percent; Estimate; Population 25 years and over - Associate's degree: 0.0137173219205
Percent Females; Estimate; Black alone - Bachelor's degree or higher: 0.0133565055071
Total; Estimate; FAMILY INCOME BY NUMBER OF WORKERS IN FAMILY - All families - 1 worker: 0.0130746115746
Percent; Margin of Error; Population 25 years and over - Less than 9th grade: 0.0121938487257
Percent; Margin of Error; Hispanic or Latino Origin - Bachelor's degree or higher: 0.0120867928639
Percent Females; Margin of Error; Asian alone - High school graduate or higher: 0.0117498042245
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population - One race-- - White: 0.0116381534542
Percent Males; Margin of Error; Some other race alone - Bachelor's degree or higher: 0.0115808053983
Percent Females; Margin of Error; RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT - White alone - Bachelor's degree or higher: 0.0113086556788
Percent Males; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Bachelor's degree or higher: 0.0111293979601
Percent Males; Estimate; Population 65 years and over - High school graduate or higher: 0.0106526073673
Margin of Error; Total:: 0.010609441325
Percent Males; Estimate; Population 25 years and over - Graduate or professional degree: 0.0106040080204
Percent; Estimate; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.010550106942
Percent Males; Estimate; Some other race alone - High school graduate or higher: 0.0103101956396
Percent; Estimate; Population 65 years and over - High school graduate or higher: 0.0100597444328
Total; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00995031118969
Percent Females; Margin of Error; POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL - Less than high school graduate: 0.0098889742766
Total; Margin of Error; PER CAPITA INCOME BY RACE AND HISPANIC OR LATINO ORIGIN - Total population: 0.00987104998127
Percent; Margin of Error; Two or more races - Bachelor's degree or higher: 0.00954676836778
Percent; Estimate; Some other race alone - High school graduate or higher: 0.00904949501604
Percent Females; Estimate; Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher: 0.00884290884341
Percent Males; Estimate; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.0088117630946
Total; Estimate; Hispanic or Latino origin (of any race): 0.00877475607016
Percent Males; Estimate; Asian alone - Bachelor's degree or higher: 0.00875122435978
Percent; Estimate; Asian alone - Bachelor's degree or higher: 0.00838951640994
Percent; Estimate; Population 45 to 64 years - High school graduate or higher: 0.00835484783458
Percent Females; Margin of Error; Some other race alone - High school graduate or higher: 0.00780903747726
Percent Females; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.00776192419861
Percent Females; Margin of Error; Two or more races - High school graduate or higher: 0.00752731480116
Percent Males; Margin of Error; Asian alone - High school graduate or higher: 0.0075234708835
Percent Males; Estimate; Population 25 to 34 years - Bachelor's degree or higher: 0.00740779644384
Percent Males; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00697630628393
Percent; Margin of Error; Population 18 to 24 years - High school graduate (includes equivalency): 0.0069702581107
Females; Margin of Error; American Indian or Alaska Native alone - Bachelor's degree or higher: 0.00673730428437
Percent Males; Margin of Error; Some other race alone - High school graduate or higher: 0.00652946074037
Percent; Estimate; Hispanic or Latino Origin - High school graduate or higher: 0.00647322480897
Percent Males; Margin of Error; Population 45 to 64 years - Bachelor's degree or higher: 0.00643996366663
